instrument,trade_count,long_count,short_count,gross_pnl,fees,slippage,net_pnl,net_return_contribution,profit_factor,win_rate,average_win,average_loss,expectancy,average_holding_period_hours,turnover,gross_exposure_sum_entry,max_drawdown_contribution,cost_drag,share_of_total_pnl,share_of_total_cost_drag,rank_by_net_pnl,rank_by_neg_drawdown_contrib,rank_by_cost_drag,rank_by_trade_count
BCH,3,1,2,-1.2640842626880253,0.1015433676506116,0.0507716838253058,-1.4163993141639426,-0.00014163993141639425,0.0,0.0,0.0,-0.4721331047213142,-0.4721331047213142,72.33333333333333,101.5433676506116,50.563370507521114,-0.00014163993141639425,0.1523150514759174,-0.06091028631168929,0.006657291591463636,58,58,66,55
ICX,3,1,2,-1.2640842626880253,0.10154336765061173,0.05077168382530586,-1.4163993141639428,-0.00014163993141639428,0.0,0.0,0.0,-0.47213310472131426,-0.47213310472131426,30.0,101.54336765061171,50.56337050752118,-0.00014163993141639428,0.1523150514759176,-0.06091028631168931,0.006657291591463645,59,56,63,59
UNI,3,1,2,-1.2640842626880255,0.10154336765061152,0.05077168382530576,-1.4163993141639428,-0.00014163993141639428,0.0,0.0,0.0,-0.47213310472131426,-0.47213310472131426,60.0,101.54336765061151,50.56337050752107,-0.00014163993141639428,0.15231505147591728,-0.06091028631168931,0.006657291591463631,60,57,69,63
QTUM,3,1,2,-1.2640842626880255,0.10154336765061159,0.050771683825305794,-1.416399314163943,-0.0001416399314163943,0.0,0.0,0.0,-0.47213310472131437,-0.47213310472131437,126.66666666666667,101.5433676506116,50.563370507521114,-0.0001416399314163943,0.1523150514759174,-0.060910286311689314,0.006657291591463636,61,55,67,62
WOO,3,1,2,-1.2640842626880266,0.10154336765061173,0.05077168382530586,-1.4163993141639444,-0.00014163993141639444,0.0,0.0,0.0,-0.4721331047213148,-0.4721331047213148,118.66666666666667,101.54336765061174,50.56337050752117,-0.00014163993141639444,0.1523150514759176,-0.06091028631168937,0.006657291591463645,62,54,65,64
DOT,3,1,2,-1.2640842626880278,0.1015433676506118,0.0507716838253059,-1.4163993141639453,-0.00014163993141639452,0.0,0.0,0.0,-0.4721331047213151,-0.4721331047213151,135.33333333333334,101.54336765061178,50.5633705075212,-0.00014163993141639452,0.1523150514759177,-0.06091028631168941,0.006657291591463649,63,52,62,57
JTO,3,1,2,-1.2640842626880275,0.10154336765061173,0.05077168382530586,-1.4163993141639453,-0.00014163993141639452,0.0,0.0,0.0,-0.4721331047213151,-0.4721331047213151,12.666666666666666,101.54336765061171,50.56337050752117,-0.00014163993141639452,0.1523150514759176,-0.06091028631168941,0.006657291591463645,64,53,64,60
TIA,3,0,3,-1.2640715864645038,0.10238979850362528,0.05119489925181264,-1.4176562842199418,-0.00014176562842199418,0.0,0.0,0.0,-0.4725520947399806,-0.4725520947399806,167.0,102.38979850362531,50.562863458580395,-0.00014176562842199418,0.15358469775543793,-0.0609643405640675,0.006712784501841712,65,51,61,72
ETH,3,0,3,-1.264071586464505,0.10238979850362556,0.05119489925181278,-1.4176562842199434,-0.00014176562842199434,0.0,0.0,0.0,-0.4725520947399811,-0.4725520947399811,71.0,102.38979850362554,50.56286345858052,-0.00014176562842199434,0.15358469775543834,-0.06096434056406757,0.00671278450184173,66,50,56,73
MASK,3,0,3,-1.264071586464506,0.10238979850362538,0.05119489925181269,-1.417656284219944,-0.0001417656284219944,0.0,0.0,0.0,-0.47255209473998133,-0.47255209473998133,12.0,102.38979850362537,50.56286345858044,-0.0001417656284219944,0.15358469775543807,-0.0609643405640676,0.006712784501841718,67,49,60,65
