left_out,net_return,net_pnl,sharpe,max_drawdown,profit_factor,delta_net_return,delta_net_pnl,delta_sharpe,delta_max_drawdown,delta_profit_factor,total_trades
ETHW,0.002582225420453721,25.822254204536293,0.20844018154590455,-0.020418298694595795,1.1264662379112453,0.0002568393486890308,2.5683934868905496,0.017463575023608652,6.191965279886066e-05,0.012923206664198661,449
GALA,0.002582225420453721,25.822254204536293,0.20843314994348303,-0.02041829869459598,1.1264662379112453,0.0002568393486890308,2.5683934868905496,0.017456543421187132,6.191965279867678e-05,0.012923206664198661,449
IMX,0.0026284500361921648,26.284500361922245,0.21180989769468056,-0.020372074078857258,1.1290222107978738,0.00030306396442747463,3.0306396442765013,0.020833291172384666,0.00010814426853739817,0.015479179550827116,448
SSV,0.0026285746906173912,26.285746906172562,0.21182393301569946,-0.020371949424432385,1.1290291191997945,0.0003031886188527011,3.031886188526819,0.020847326493403567,0.00010826892296227075,0.015486087952747862,448
1INCH,0.0026286993431619,26.28699343161952,0.21183590555267923,-0.020371824771887623,1.129036027582049,0.00030331327139720976,3.033132713973778,0.020859299030383333,0.00010839357550703269,0.01549299633500234,448
ADA,0.0026286993431619,26.28699343161952,0.21182598883163553,-0.020371824771887623,1.129036027582049,0.00030331327139720976,3.033132713973778,0.020849382309339637,0.00010839357550703269,0.01549299633500234,448
IOTA,0.0026286993431619,26.28699343161952,0.21183946385680205,-0.020371824771887623,1.129036027582049,0.00030331327139720976,3.033132713973778,0.020862857334506157,0.00010839357550703269,0.01549299633500234,448
RVN,0.0026286993431619,26.28699343161952,0.2118512576498743,-0.020371824771887623,1.129036027582049,0.00030331327139720976,3.033132713973778,0.020874651127578414,0.00010839357550703269,0.01549299633500234,448
SUI,0.0026286993431619,26.286993431619535,0.21183161871227846,-0.020371824771887623,1.129036027582049,0.00030331327139720976,3.0331327139737922,0.020855012189982564,0.00010839357550703269,0.01549299633500234,448
SUSHI,0.0026286993431619,26.28699343161955,0.21184426483486285,-0.020371824771887623,1.129036027582049,0.00030331327139720976,3.0331327139738065,0.020867658312566956,0.00010839357550703269,0.01549299633500234,448
ACH,0.002628823993826357,26.28823993826346,0.21183498887220323,-0.02037170012122333,1.1290429359446366,0.00030343792206166675,3.0343792206177156,0.020858382349907334,0.00010851822617132661,0.015499904697589884,448
