member_id,side,gross_pnl,fees,slippage,net_pnl,residual_gross_minus_fees_minus_slip_minus_net,exit_reason
okx:linear_perpetual:MASK:USDT:USDT:perp,short,-49.99999999999974,4.049999999999993,2.0249999999999964,-56.074999999999726,0.0,stop_loss
okx:linear_perpetual:MASK:USDT:USDT:perp,short,-49.719624999999745,4.027289624999987,2.0136448124999937,-55.76055943749972,0.0,stop_loss
okx:linear_perpetual:MASK:USDT:USDT:perp,short,-49.440822202812235,4.004706598427815,2.0023532992139077,-55.44788210045395,-7.105427357601002e-15,stop_loss
okx:linear_perpetual:MEME:USDT:USDT:perp,long,-50.0,3.949999999999995,1.9749999999999974,-55.925,7.105427357601002e-15,stop_loss
okx:linear_perpetual:MEME:USDT:USDT:perp,short,-49.72037499999973,4.027350375000001,2.0136751875000005,-55.76140056249973,0.0,stop_loss
okx:linear_perpetual:MEME:USDT:USDT:perp,short,-49.4415679971875,4.004767007772192,2.002383503886096,-55.448718508845786,0.0,stop_loss
okx:linear_perpetual:MEME:USDT:USDT:perp,short,-49.164324404642976,3.9823102767760923,1.9911551383880461,-55.13778981980712,7.105427357601002e-15,stop_loss
okx:linear_perpetual:MEME:USDT:USDT:perp,short,-48.88863545554396,3.959979471899078,1.979989735949539,-54.82860466339258,7.105427357601002e-15,stop_loss
okx:linear_perpetual:MEME:USDT:USDT:perp,short,-48.614492432227,3.9377738870103993,1.9688869435051997,-54.5211532627426,0.0,stop_loss
okx:linear_perpetual:MEME:USDT:USDT:perp,short,-48.341886665913556,3.915692819939005,1.9578464099695025,-54.21542589582206,-7.105427357601002e-15,stop_loss
okx:linear_perpetual:MERL:USDT:USDT:perp,long,-50.0,3.9499999999999806,1.9749999999999903,-55.92499999999997,0.0,stop_loss
okx:linear_perpetual:MERL:USDT:USDT:perp,short,-49.720375000000004,4.027350375000001,2.0136751875000005,-55.76140056250001,7.105427357601002e-15,stop_loss
okx:linear_perpetual:MERL:USDT:USDT:perp,short,-49.441567997187086,4.0047670077721795,2.0023835038860898,-55.44871850884535,0.0,stop_loss
okx:linear_perpetual:MERL:USDT:USDT:perp,short,-49.164324404642855,3.982310276776088,1.991155138388044,-55.13778981980698,-7.105427357601002e-15,stop_loss
okx:linear_perpetual:MERL:USDT:USDT:perp,short,-48.88863545554384,3.959979471899067,1.9799897359495335,-54.82860466339244,0.0,stop_loss
okx:linear_perpetual:MERL:USDT:USDT:perp,short,-48.61449243222728,3.9377738870104118,1.9688869435052059,-54.52115326274289,0.0,stop_loss
okx:linear_perpetual:MERL:USDT:USDT:perp,short,-48.34188666591316,3.915692819938981,1.9578464099694906,-54.21542589582163,0.0,stop_loss
okx:linear_perpetual:MERL:USDT:USDT:perp,short,-48.07080953643425,3.893735572451191,1.9468677862255954,-53.911412895111035,0.0,stop_loss
okx:linear_perpetual:MERL:USDT:USDT:perp,short,-47.8012524719589,3.871901450228681,1.9359507251143404,-53.60910464730192,0.0,stop_loss
okx:linear_perpetual:MERL:USDT:USDT:perp,short,-47.53320694872198,3.8501897628465027,1.9250948814232514,-53.308491592991736,0.0,stop_loss
okx:linear_perpetual:MERL:USDT:USDT:perp,short,-47.26666449075704,3.828599823751335,1.9142999118756674,-53.009564226384036,0.0,stop_loss
okx:linear_perpetual:MERL:USDT:USDT:perp,short,-47.00161666962551,3.807130950239676,1.903565475119838,-52.71231309498503,0.0,stop_loss
okx:linear_perpetual:MERL:USDT:USDT:perp,short,-46.73805510415025,3.785782463436196,1.892891231718098,-52.41672879930454,0.0,stop_loss
